kind,score,sids,metrics,p_left,p_right,p_home,p_house_exch,p_pet_exch
trial,0.9933334,e7ffd4f938f0|4bf945ef7cdf|ebb4f5eb0c83|6862d8b55a5f|70a200755f3d,/home/nuriddin/Code/zebra/data/logs/metrics_e7ffd4f938f0.csv|/home/nuriddin/Code/zebra/data/logs/metrics_4bf945ef7cdf.csv|/home/nuriddin/Code/zebra/data/logs/metrics_ebb4f5eb0c83.csv|/home/nuriddin/Code/zebra/data/logs/metrics_6862d8b55a5f.csv|/home/nuriddin/Code/zebra/data/logs/metrics_70a200755f3d.csv,73,13,14,87,54
trial,0.9933334,ede8ef26b055|d0244d9327e5|6762e70bc79c|97d6da6bc249|a0b1e24491cf,/home/nuriddin/Code/zebra/data/logs/metrics_ede8ef26b055.csv|/home/nuriddin/Code/zebra/data/logs/metrics_d0244d9327e5.csv|/home/nuriddin/Code/zebra/data/logs/metrics_6762e70bc79c.csv|/home/nuriddin/Code/zebra/data/logs/metrics_97d6da6bc249.csv|/home/nuriddin/Code/zebra/data/logs/metrics_a0b1e24491cf.csv,38,24,38,59,67
trial,1.0,83700d7224af|2b6381520861|8ef84da67f54|4dadf3453448|0e1cff758756,/home/nuriddin/Code/zebra/data/logs/metrics_83700d7224af.csv|/home/nuriddin/Code/zebra/data/logs/metrics_2b6381520861.csv|/home/nuriddin/Code/zebra/data/logs/metrics_8ef84da67f54.csv|/home/nuriddin/Code/zebra/data/logs/metrics_4dadf3453448.csv|/home/nuriddin/Code/zebra/data/logs/metrics_0e1cff758756.csv,14,32,54,87,92
trial,0.9866668000000001,90fe07019ec9|e4e7ff1b896d|e0a1a49fe0b2|15773d2aedc2|4f99cf11ad58,/home/nuriddin/Code/zebra/data/logs/metrics_90fe07019ec9.csv|/home/nuriddin/Code/zebra/data/logs/metrics_e4e7ff1b896d.csv|/home/nuriddin/Code/zebra/data/logs/metrics_e0a1a49fe0b2.csv|/home/nuriddin/Code/zebra/data/logs/metrics_15773d2aedc2.csv|/home/nuriddin/Code/zebra/data/logs/metrics_4f99cf11ad58.csv,7,51,42,98,82
trial,0.9933334,345ca8ae185f|db431fe7b70e|406e1653a743|69ac515533bc|b5a4e649754a,/home/nuriddin/Code/zebra/data/logs/metrics_345ca8ae185f.csv|/home/nuriddin/Code/zebra/data/logs/metrics_db431fe7b70e.csv|/home/nuriddin/Code/zebra/data/logs/metrics_406e1653a743.csv|/home/nuriddin/Code/zebra/data/logs/metrics_69ac515533bc.csv|/home/nuriddin/Code/zebra/data/logs/metrics_b5a4e649754a.csv,43,37,20,0,92
trial,0.9933334,d2ddde616198|a776b49c3072|db788600cf86|583956f97e86|3b3cfdf349e5,/home/nuriddin/Code/zebra/data/logs/metrics_d2ddde616198.csv|/home/nuriddin/Code/zebra/data/logs/metrics_a776b49c3072.csv|/home/nuriddin/Code/zebra/data/logs/metrics_db788600cf86.csv|/home/nuriddin/Code/zebra/data/logs/metrics_583956f97e86.csv|/home/nuriddin/Code/zebra/data/logs/metrics_3b3cfdf349e5.csv,53,16,31,22,64
trial,0.9933334,f9fefad52589|dc46110d159e|e58dab013881|41ac99a7059f|d9950b9fa223,/home/nuriddin/Code/zebra/data/logs/metrics_f9fefad52589.csv|/home/nuriddin/Code/zebra/data/logs/metrics_dc46110d159e.csv|/home/nuriddin/Code/zebra/data/logs/metrics_e58dab013881.csv|/home/nuriddin/Code/zebra/data/logs/metrics_41ac99a7059f.csv|/home/nuriddin/Code/zebra/data/logs/metrics_d9950b9fa223.csv,44,42,14,81,64
trial,1.0,b455096f3be8|392818253889|6a4ff66e018a|88bd78af59d0|d314dae9e406,/home/nuriddin/Code/zebra/data/logs/metrics_b455096f3be8.csv|/home/nuriddin/Code/zebra/data/logs/metrics_392818253889.csv|/home/nuriddin/Code/zebra/data/logs/metrics_6a4ff66e018a.csv|/home/nuriddin/Code/zebra/data/logs/metrics_88bd78af59d0.csv|/home/nuriddin/Code/zebra/data/logs/metrics_d314dae9e406.csv,40,10,50,69,99
trial,1.0,33804d9c8817|8eb9a3ee1ec9|95d8bae864b7|4530217a5dca|738837fcea34,/home/nuriddin/Code/zebra/data/logs/metrics_33804d9c8817.csv|/home/nuriddin/Code/zebra/data/logs/metrics_8eb9a3ee1ec9.csv|/home/nuriddin/Code/zebra/data/logs/metrics_95d8bae864b7.csv|/home/nuriddin/Code/zebra/data/logs/metrics_4530217a5dca.csv|/home/nuriddin/Code/zebra/data/logs/metrics_738837fcea34.csv,38,38,24,62,2
trial,1.0,2a1faadbff95|ce7f6adf4878|e3270a9bcc84|fe8b7981744b|b743a6852869,/home/nuriddin/Code/zebra/data/logs/metrics_2a1faadbff95.csv|/home/nuriddin/Code/zebra/data/logs/metrics_ce7f6adf4878.csv|/home/nuriddin/Code/zebra/data/logs/metrics_e3270a9bcc84.csv|/home/nuriddin/Code/zebra/data/logs/metrics_fe8b7981744b.csv|/home/nuriddin/Code/zebra/data/logs/metrics_b743a6852869.csv,8,25,67,39,30
trial,1.0,ec4da49fd656|5798c347fd38|18fa385d5bbe|f8a820dbe5f7|6bcc2efb9e9b,/home/nuriddin/Code/zebra/data/logs/metrics_ec4da49fd656.csv|/home/nuriddin/Code/zebra/data/logs/metrics_5798c347fd38.csv|/home/nuriddin/Code/zebra/data/logs/metrics_18fa385d5bbe.csv|/home/nuriddin/Code/zebra/data/logs/metrics_f8a820dbe5f7.csv|/home/nuriddin/Code/zebra/data/logs/metrics_6bcc2efb9e9b.csv,3,47,50,10,93
trial,0.9866668000000001,078b3178d04c|ae84192ecdd3|9fddae3efa71|c3728ae463c3|c90eecb5a8f1,/home/nuriddin/Code/zebra/data/logs/metrics_078b3178d04c.csv|/home/nuriddin/Code/zebra/data/logs/metrics_ae84192ecdd3.csv|/home/nuriddin/Code/zebra/data/logs/metrics_9fddae3efa71.csv|/home/nuriddin/Code/zebra/data/logs/metrics_c3728ae463c3.csv|/home/nuriddin/Code/zebra/data/logs/metrics_c90eecb5a8f1.csv,37,5,58,98,16
trial,0.9733336000000001,091dccde10e3|e8696b704970|eee58097e966|db88c89118d6|70870a92175b,/home/nuriddin/Code/zebra/data/logs/metrics_091dccde10e3.csv|/home/nuriddin/Code/zebra/data/logs/metrics_e8696b704970.csv|/home/nuriddin/Code/zebra/data/logs/metrics_eee58097e966.csv|/home/nuriddin/Code/zebra/data/logs/metrics_db88c89118d6.csv|/home/nuriddin/Code/zebra/data/logs/metrics_70870a92175b.csv,11,41,48,33,67
trial,0.9933334,d1b5e8c18331|94b02649bb0f|28c3d43c625a|059668d3b3ea|20ec461a47d0,/home/nuriddin/Code/zebra/data/logs/metrics_d1b5e8c18331.csv|/home/nuriddin/Code/zebra/data/logs/metrics_94b02649bb0f.csv|/home/nuriddin/Code/zebra/data/logs/metrics_28c3d43c625a.csv|/home/nuriddin/Code/zebra/data/logs/metrics_059668d3b3ea.csv|/home/nuriddin/Code/zebra/data/logs/metrics_20ec461a47d0.csv,58,28,14,69,96
trial,1.0,87b2210cec46|864c47010b38|c43eb57df47d|a68eb7d0b32f|518257235ffb,/home/nuriddin/Code/zebra/data/logs/metrics_87b2210cec46.csv|/home/nuriddin/Code/zebra/data/logs/metrics_864c47010b38.csv|/home/nuriddin/Code/zebra/data/logs/metrics_c43eb57df47d.csv|/home/nuriddin/Code/zebra/data/logs/metrics_a68eb7d0b32f.csv|/home/nuriddin/Code/zebra/data/logs/metrics_518257235ffb.csv,59,16,25,85,83
trial,1.0,29436919203a|e20ef24836b0|849c36b6e2ae|6bb0ced042ae|3d2d0798fa7a,/home/nuriddin/Code/zebra/data/logs/metrics_29436919203a.csv|/home/nuriddin/Code/zebra/data/logs/metrics_e20ef24836b0.csv|/home/nuriddin/Code/zebra/data/logs/metrics_849c36b6e2ae.csv|/home/nuriddin/Code/zebra/data/logs/metrics_6bb0ced042ae.csv|/home/nuriddin/Code/zebra/data/logs/metrics_3d2d0798fa7a.csv,22,52,26,31,28
trial,0.9933334,1be240da4abd|b20ba2227811|5849f609aa08|d6f66ebcdac1|f06b7d623270,/home/nuriddin/Code/zebra/data/logs/metrics_1be240da4abd.csv|/home/nuriddin/Code/zebra/data/logs/metrics_b20ba2227811.csv|/home/nuriddin/Code/zebra/data/logs/metrics_5849f609aa08.csv|/home/nuriddin/Code/zebra/data/logs/metrics_d6f66ebcdac1.csv|/home/nuriddin/Code/zebra/data/logs/metrics_f06b7d623270.csv,10,3,87,75,28
trial,0.9933334,a90582a20e39|d76dbef57426|3344612d4f47|f88442b8699c|2d25bffc2135,/home/nuriddin/Code/zebra/data/logs/metrics_a90582a20e39.csv|/home/nuriddin/Code/zebra/data/logs/metrics_d76dbef57426.csv|/home/nuriddin/Code/zebra/data/logs/metrics_3344612d4f47.csv|/home/nuriddin/Code/zebra/data/logs/metrics_f88442b8699c.csv|/home/nuriddin/Code/zebra/data/logs/metrics_2d25bffc2135.csv,1,91,8,8,4
