event_id;day;event;who;from;to;success
312;52;visit;a5;5;5;1
313;53;visit;a0;2;1;1
314;53;visit;a1;1;2;1
315;53;visit;a2;5;4;1
316;53;visit;a3;1;1;1
317;53;visit;a4;2;2;1
318;53;visit;a5;5;4;1
319;54;visit;a0;1;2;1
320;54;visit;a1;2;1;1
321;54;visit;a2;4;5;1
322;54;visit;a3;1;1;1
323;54;visit;a4;2;2;1
324;54;visit;a5;4;3;1
325;55;visit;a0;2;2;1
326;55;visit;a1;1;1;1
327;55;visit;a2;5;6;1
328;55;visit;a3;1;6;1
329;55;visit;a4;2;3;1
330;55;visit;a5;3;2;1
331;56;visit;a0;2;1;1
332;56;visit;a1;1;1;1
333;56;visit;a2;6;6;1
334;56;visit;a3;6;5;1
335;56;visit;a4;3;2;1
336;56;visit;a5;2;3;1
337;57;visit;a0;1;6;1
338;57;visit;a1;1;6;1
339;57;visit;a2;6;1;1
340;57;visit;a3;5;5;1
341;57;visit;a4;2;1;1
342;57;visit;a5;3;2;1
343;58;visit;a0;6;1;1
344;58;visit;a1;6;6;1
345;58;visit;a2;1;6;1
346;58;visit;a3;5;5;1
347;58;visit;a4;1;6;1
348;58;visit;a5;2;3;1
349;59;visit;a0;1;2;1
350;59;visit;a1;6;5;1
351;59;visit;a2;6;6;1
352;59;visit;a3;5;4;1
353;59;visit;a4;6;1;1
354;59;visit;a5;3;3;1
355;60;visit;a0;2;2;1
356;60;visit;a1;5;4;1
357;60;visit;a2;6;6;1
358;60;visit;a3;4;4;1
359;60;visit;a4;1;6;1
360;60;visit;a5;3;4;1
361;61;visit;a0;2;1;1
362;61;visit;a1;4;5;1
363;61;visit;a2;6;5;1
364;61;visit;a3;4;5;1
365;61;visit;a4;6;5;1
366;61;visit;a5;4;5;1
367;62;visit;a0;1;6;1
368;62;visit;a1;5;5;1
369;62;visit;a2;5;6;1
370;62;visit;a3;5;6;1
371;62;visit;a4;5;6;1
372;62;visit;a5;5;6;1
373;63;visit;a0;6;6;1
374;63;visit;a1;5;6;1
375;63;visit;a2;6;1;1
376;63;visit;a3;6;6;1
377;63;visit;a4;6;5;1
378;63;visit;a5;6;1;1
379;64;visit;a0;6;6;1
380;64;visit;a1;6;5;1
381;64;visit;a2;1;6;1
382;64;visit;a3;6;1;1
383;64;visit;a4;5;5;1
384;64;visit;a5;1;6;1
385;65;visit;a0;6;5;1
386;65;visit;a1;5;6;1
387;65;visit;a2;6;6;1
388;65;visit;a3;1;1;1
389;65;visit;a4;5;6;1
390;65;visit;a5;6;5;1
391;66;visit;a0;5;5;1
392;66;visit;a1;6;5;1
393;66;visit;a2;6;5;1
394;66;visit;a3;1;2;1
395;66;visit;a4;6;1;1
396;66;visit;a5;5;4;1
397;67;visit;a0;5;4;1
398;67;visit;a1;5;6;1
399;67;visit;a2;5;4;1
400;67;visit;a3;2;2;1
401;67;visit;a4;1;2;1
